"ibge.municode","uf","muni","electorate.96","comp.voting.98","depfedbranconulo98.pct","blank.inv.96","poverty_high_1991","frac_25_illit_1991","gini_1991","pt_pres_1994","latitude","longitude"
2613503,"PE","SAO JOSE DO BELMONTE",20847,"0",32.5391280044718,12.821,89.7360000610352,53.7589988708496,0.554000020027161,15.6463334067386,-7.86138868331909,38.7597236633301
2613602,"PE","SAO JOSE DO EGITO",20672,"0",37.2945970816353,13.599,79.5149993896484,42.1459999084473,0.657999992370605,16.3105303612606,-7.47888898849487,37.2744445800781
2613701,"PE","SAO LOURENCO DA MATA",52664,"1",12.8984017197869,25.789,69.8420028686523,36.5880012512207,0.515999972820282,23.0222111305216,-8.00222206115723,35.0183334350586
2613800,"PE","SAO VICENTE FERRER",10863,"0",33.2988223113757,26.783,90.2990036010742,59.0690002441406,0.574000000953674,18.7053140096618,-7.5911111831665,35.4913902282715
2613909,"PE","SERRA TALHADA",46664,"1",10.38885476937,16.944,80.7679977416992,48.6450004577637,0.620000004768372,13.9417283017085,-7.99194431304932,38.2983322143555
2614006,"PE","SERRITA",10768,"0",13.9273153575615,8.114,92.681999206543,56.3790016174316,0.603999972343445,21.2451599755451,-7.93333339691162,39.2958335876465
2614105,"PE","SERTANIA",22795,"0",33.0587086537288,12.838,84.7099990844727,49.064998626709,0.512000024318695,15.810605011768,-8.07361125946045,37.2644462585449
2614204,"PE","SIRINHAEM",21643,"0",40.8635794743429,17.991,92.6480026245117,58.3279991149902,0.555000007152557,18.5181276056784,-8.59083366394043,35.1161117553711
2614303,"PE","MOREILANDIA",8128,"0",23.4607790342847,9.282,94.2570037841797,59.4500007629395,0.547999978065491,15.8069221588649,-7.6308331489563,39.5511093139648
2614402,"PE","SOLIDAO",4574,"0",27.2589448150394,9.366,96.2519989013672,54.1640014648438,0.532000005245209,22.8216758176176,-7.6002779006958,37.6519432067871
2614501,"PE","SURUBIM",30716,"0",36.3542055686958,18.639,73.7799987792969,50.6879997253418,0.524999976158142,17.0175196578838,-7.83305549621582,35.7547225952148
2614600,"PE","TABIRA",16008,"0",31.374694839633,11.199,86.6480026245117,42.5999984741211,0.616999983787537,25.2353415814954,-7.59083318710327,37.5394439697266
2614709,"PE","TACAIMBO",7907,"0",33.2240814214249,22.296,86.0790023803711,74.5019989013672,0.479999989271164,8.03490037765334,-8.31611156463623,36.2933349609375
2614808,"PE","TACARATU",11014,"0",28.5861314807668,10.168,86.068000793457,49.4020004272461,0.569999992847443,12.4602486267707,-9.10527801513672,38.1491661071777
2614857,"PE","TAMANDARE",8216,"0",34.2653787493645,21.1,88.984001159668,56.1080017089844,0.527999997138977,11.2751584372171,-8.75972175598145,35.1047210693359
2615003,"PE","TAQUARITINGA DO NORTE",12005,"0",38.8212180746562,10.81,66.1460037231445,42.4729995727539,0.523999989032745,14.7868321640583,-7.9030556678772,36.0441665649414
2615102,"PE","TEREZINHA",5167,"0",35.3585112205802,16.074,91.0670013427734,68.5660018920898,0.467999994754791,9.90773286467487,-9.0561113357544,36.6227760314941
2615201,"PE","TERRA NOVA",6296,"0",21.715976331361,8.794,75.661003112793,47.7929992675781,0.541000008583069,17.0362548398451,-8.22972202301025,39.3755569458008
2615300,"PE","TIMBAUBA",37919,"0",32.8525973576814,15.486,78.3219985961914,46.5060005187988,0.574000000953674,20.4298363595606,-7.50527763366699,35.3183326721191
