"participantid","vote_prefer","treat","actor","female","inscrite","cousin_subject","education","vecu_ailleurs"
"684_v2",3,1,2,0,NA,"1",4,1
"685_v1",5,1,2,0,1,"0",5,0
"685_v2",4,1,1,0,1,"0",5,0
"687_v1",5,0,1,0,1,"1",3,1
"688_v1",5,0,2,0,1,"0",3,1
"689_v1",2,0,1,1,1,"0",2,1
"689_v2",3,1,2,1,1,"0",2,1
"692_v2",7,0,2,0,1,"0",2,1
"694_v1",4,1,1,0,1,"0",2,1
"694_v2",1,1,2,0,1,"0",2,1
"695_v2",2,0,1,1,0,"0",3,1
"699_v1",6,0,2,0,1,"0",2,1
"699_v2",3,0,1,0,1,"0",2,1
"700_v1",7,1,1,0,1,"0",4,1
"701_v1",7,0,2,1,0,"0",5,1
"701_v2",5,0,1,1,0,"0",5,1
"702_v1",5,0,2,1,1,"0",5,1
"702_v2",6,1,1,1,1,"1",5,1
"706_v1",6,1,2,0,1,"0",0,0
"708b_v2",2,0,1,0,1,"0",4,1
"709a_v1",7,1,2,0,0,"0",3,1
"709a_v2",7,1,1,0,0,"0",3,1
"709b_v2",3,0,2,0,1,"0",2,1
"710a_v1",5,1,2,0,1,"0",0,1
"712_v1",3,0,1,0,0,"0",2,1
"712_v2",7,0,2,0,0,"0",2,1
"714_v2",6,1,1,0,1,"0",2,1
"715_v1",5,0,2,0,0,"0",5,1
"716_v2",4,0,1,0,0,"0",2,0
"720_v1",3,0,1,0,0,"0",2,1
"721_v1",7,1,1,0,1,"0",5,1
"722_v1",6,1,1,0,0,"0",5,1
"723_v1",7,1,1,0,0,"1",6,1
"724_v2",3,0,1,1,0,"0",0,1
"726_v1",7,1,2,0,0,"1",5,1
"727_v2",5,0,2,0,0,"0",5,1
"728_v1",3,0,1,0,1,"0",0,1
"729_v1",1,0,2,0,1,"0",6,1
"733_v1",7,1,2,1,1,"1",5,1
"737_v2",3,0,2,0,1,"0",6,1
"738_v2",4,0,2,0,0,"0",0,1
"739_v1",7,1,2,0,1,"0",0,1
"740_v1",5,1,1,0,1,"0",2,1
"741_v1",7,1,2,1,0,"0",2,0
"743_v2",5,1,1,0,1,"0",5,1
"745_v2",7,1,2,0,1,"0",5,1
"746_v1",5,1,1,0,0,"1",6,1
"747_v2",7,1,1,0,1,"0",2,1
"748_v2",3,0,1,0,0,"0",5,1
"749_v1",5,1,2,1,0,"0",2,1
"750_v1",5,1,1,0,0,"1",2,1
"750_v2",6,1,2,0,0,"0",2,1
"751_v1",7,1,1,0,1,"0",1,1
"751_v2",4,0,2,0,1,"0",1,1
